,osmid,geometry
27597061,27597061,POINT (8.567572699999999 47.350333)
1586370831,1586370831,POINT (8.5446983 47.3764869)
1507924261,1507924261,POINT (8.516858900000001 47.3438941)
316676390,316676390,POINT (8.5138319 47.3801719)
27597112,27597112,POINT (8.569191999999999 47.350782)
151329126,151329126,POINT (8.579411500000001 47.3601916)
151329132,151329132,POINT (8.581376000000001 47.3576417)
4515830134,4515830134,POINT (8.5594587 47.3769705)
599923065,599923065,POINT (8.5534552 47.3974704)
5318515077,5318515077,POINT (8.524536299999999 47.394953)
128588184,128588184,POINT (8.539313699999999 47.3967088)
128588186,128588186,POINT (8.538747900000001 47.3961883)
83433911,83433911,POINT (8.523946799999999 47.3475715)
3671595450,3671595450,POINT (8.532496500000001 47.3980201)
27597243,27597243,POINT (8.5594401 47.3539318)
27597253,27597253,POINT (8.5615983 47.3539265)
1493768689,1493768689,POINT (8.5155952 47.3296)
316676658,316676658,POINT (8.515387499999999 47.3816026)
301210179,301210179,POINT (8.5203173 47.3721623)
93002313,93002313,POINT (8.545005 47.400005)
292559461,292559461,POINT (8.524125099999999 47.3783644)
91495027,91495027,POINT (8.5199357 47.3580719)
312220299,312220299,POINT (8.523915199999999 47.375516)
312220302,312220302,POINT (8.5246855 47.3750277)
549395105,549395105,POINT (8.553681900000001 47.3695542)
151329456,151329456,POINT (8.5835499 47.3557105)
28580544,28580544,POINT (8.5161043 47.3787161)
153492161,153492161,POINT (8.567463 47.3794814)
147659457,147659457,POINT (8.531561699999999 47.3650625)
1118378712,1118378712,POINT (8.540456199999999 47.3962579)
1507924696,1507924696,POINT (8.5171177 47.3442421)
108206814,108206814,POINT (8.5430721 47.4014646)
1042029281,1042029281,POINT (8.5384118 47.3693051)
28580591,28580591,POINT (8.5151924 47.3789914)
91495170,91495170,POINT (8.518738600000001 47.3577712)
154606400,154606400,POINT (8.5401746 47.3660736)
49355596,49355596,POINT (8.529409299999999 47.3456146)
269960866,269960866,POINT (8.5677725 47.3824152)
267459439,267459439,POINT (8.519015100000001 47.3391652)
2967149443,2967149443,POINT (8.522212400000001 47.3908199)
2967149445,2967149445,POINT (8.5219723 47.3904409)
4333509527,4333509527,POINT (8.522166500000001 47.3743586)
462232489,462232489,POINT (8.477097000000001 47.3899001)
112991191,112991191,POINT (8.5077812 47.3778022)
480320473,480320473,POINT (8.5241392 47.3535928)
480320484,480320484,POINT (8.5239341 47.3552707)
462232592,462232592,POINT (8.4773269 47.3902939)
71310363,71310363,POINT (8.4764949 47.3978456)
5380840482,5380840482,POINT (8.5395428 47.414298)
572529717,572529717,POINT (8.5375327 47.4306917)
4955708483,4955708483,POINT (8.542823 47.4088423)
1397562435,1397562435,POINT (8.5523474 47.3654887)
3615431769,3615431769,POINT (8.5308896 47.3278926)
3720027236,3720027236,POINT (8.559227699999999 47.4116071)
109911149,109911149,POINT (8.5389666 47.3937064)
132062338,132062338,POINT (8.5535643 47.3808344)
485629098,485629098,POINT (8.5478153 47.3600909)
485629100,485629100,POINT (8.552128400000001 47.3588231)
390470837,390470837,POINT (8.524094 47.3712052)
255859938,255859938,POINT (8.5102633 47.3645154)
255859940,255859940,POINT (8.5099754 47.3658499)
295378171,295378171,POINT (8.525790499999999 47.3939934)
411049234,411049234,POINT (8.545502900000001 47.3959574)
5333458206,5333458206,POINT (8.5711718 47.3616944)
93003078,93003078,POINT (8.5456073 47.4000043)
314973582,314973582,POINT (8.5305383 47.3618268)
314973586,314973586,POINT (8.529253000000001 47.3625862)
314973590,314973590,POINT (8.5288424 47.3637496)
329653692,329653692,POINT (8.5599001 47.3595096)
1608392175,1608392175,POINT (8.547014799999999 47.3709035)
341122544,341122544,POINT (8.5901885 47.3640385)
1608392196,1608392196,POINT (8.547712600000001 47.3716039)
3834912302,3834912302,POINT (8.554502299999999 47.3768972)
656154176,656154176,POINT (8.556642999999999 47.4045073)
336338496,336338496,POINT (8.5456635 47.4173685)
336338500,336338500,POINT (8.545757699999999 47.4170599)
462233161,462233161,POINT (8.4763775 47.3893485)
112336484,112336484,POINT (8.5179382 47.3985384)
112336486,112336486,POINT (8.5182684 47.398588)
27467384,27467384,POINT (8.555923399999999 47.3671424)
1855921791,1855921791,POINT (8.466189099999999 47.4001303)
142089938,142089938,POINT (8.4899781 47.3765684)
