,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
252,4407089927,4407089931,"LINESTRING (-107.8017883006968 37.93651997461529, -107.8017664006969 37.93653277461493, -107.801721400697 37.9365482746143, -107.8016658006971 37.93656197461357, -107.8016120006973 37.9365705746129, -107.8015464006975 37.93657247461218, -107.8013954006978 37.93656117461062, -107.801304200698 37.93655087460971)",residential,,43.757,Primrose Alley,False,
253,4407089936,4407089927,"LINESTRING (-107.8020044006964 37.9366626746165, -107.8019104006966 37.9366315746157, -107.8018279006968 37.93659607461508, -107.8018064006968 37.93657387461504, -107.8017917006968 37.9365437746151, -107.8017883006968 37.93651997461529)",residential,,26.538000000000004,Primrose Lane,False,
254,178103090,178095700,"LINESTRING (-107.8088071006795 37.93664337469129, -107.8086167006805 37.93710117468549, -107.8084597006814 37.93747837468076)",residential,,97.719,North Willow Street,False,
255,178103090,178097365,"LINESTRING (-107.8088071006795 37.93664337469129, -107.8089905006784 37.93619327469689, -107.8091268006776 37.93583077470129)",residential,,94.613,South Willow Street,False,
256,178103090,178099400,"LINESTRING (-107.8088071006795 37.93664337469129, -107.8088862006793 37.93666377469197, -107.8098230006772 37.93690497470033, -107.8107056006753 37.9371286747082, -107.8107704006752 37.93714467470878)",primary,4,180.977,East Colorado Avenue,False,
257,178103090,178107523,"LINESTRING (-107.8088071006795 37.93664337469129, -107.8087045006797 37.93661767469036, -107.8079104006814 37.9364002746834, -107.8078392006815 37.93638077468279)",primary,4,89.769,East Colorado Avenue,False,
258,178103094,178095669,"LINESTRING (-107.807802200685 37.93909077466059, -107.8081287006832 37.93828337467065)",residential,,94.234,North Willow Street,False,
259,178103094,178109835,"LINESTRING (-107.807802200685 37.93909077466059, -107.8072322006864 37.93906197465456)",residential,,50.089,East Gregory Avenue,False,
260,178103094,178101584,"LINESTRING (-107.807802200685 37.93909077466059, -107.8083370006837 37.9391230746662, -107.8088596006825 37.93916257467162)",residential,,93.077,East Gregory Avenue,False,
261,3224169466,3224169508,"LINESTRING (-107.8208106006552 37.94120377478634, -107.8208228006553 37.94122667478629, -107.8208844006552 37.9412707747866)",primary,1,10.058,,True,
262,178103112,178097365,"LINESTRING (-107.8093238006766 37.93536257470724, -107.8091268006776 37.93583077470129)",residential,,54.853,South Willow Street,False,
263,178105176,178099190,"LINESTRING (-107.8201864006554 37.94003047478892, -107.8211403006538 37.94072167479383)",residential,,113.599,Prospect Avenue,False,
264,178107237,178095046,"LINESTRING (-107.8143946006707 37.94080067471918, -107.8140210006715 37.94068647471601, -107.8136097006724 37.94058457471231, -107.8133598006729 37.94047657471044, -107.8131185006734 37.94039407470846, -107.8127787006741 37.94030247470547)",residential,,152.486,Dakota Avenue,False,
265,178099061,178099062,"LINESTRING (-107.8038604006901 37.93534547464743, -107.8036748006912 37.93582467464153)",residential,,55.715,Laurel Street,False,
266,178099061,178095771,"LINESTRING (-107.8038604006901 37.93534547464743, -107.8040380006898 37.93538847464905, -107.804395900689 37.93548397465217, -107.804838600688 37.9356020746561)",secondary,2,90.41499999999999,East Colorado Avenue,False,
267,178099061,178108354,"LINESTRING (-107.8038604006901 37.93534547464743, -107.8032092006916 37.93519657464149, -107.8028520006924 37.93513607463805)",secondary,2,91.503,East Colorado Avenue,False,
268,178099062,178099061,"LINESTRING (-107.8036748006912 37.93582467464153, -107.8038604006901 37.93534547464743)",residential,,55.715,Laurel Street,False,
269,178099062,178095773,"LINESTRING (-107.8036748006912 37.93582467464153, -107.8046550006891 37.93606807465034)",residential,,90.123,Shadow Lane,False,
270,178099062,178075127,"LINESTRING (-107.8036748006912 37.93582467464153, -107.8026770006934 37.93557147463264)",residential,,91.925,Shadow Lane,False,
271,178088830,178095016,"LINESTRING (-107.8191657006558 37.93834147479129, -107.8193906006545 37.9377865747982)",residential,,64.778,South Tomboy Drive,False,
272,178088830,178088834,"LINESTRING (-107.8191657006558 37.93834147479129, -107.8188466006564 37.93823837478861, -107.8185675006571 37.93819317478593)",residential,,55.227999999999994,,False,
273,178088830,178095027,"LINESTRING (-107.8191657006558 37.93834147479129, -107.818920900657 37.9388655747844, -107.8184335006581 37.93876907477983, -107.818253400659 37.9391597747747)",residential,,152.401,South Tomboy Drive,False,
274,178088834,178088830,"LINESTRING (-107.8185675006571 37.93819317478593, -107.8188466006564 37.93823837478861, -107.8191657006558 37.93834147479129)",residential,,55.227999999999994,,False,
275,178102160,178097352,"LINESTRING (-107.8117730006696 37.93470797473937, -107.8116917006701 37.93490617473689, -107.8115433006709 37.93526627473237, -107.8114413006715 37.93551407472925)",residential,,94.237,South Pine Street,False,
276,178094059,178094061,"LINESTRING (-107.8120908006746 37.93928937470604, -107.811821900676 37.93991267469811)",residential,,73.21,North Oak Street,False,
277,178094059,178094057,"LINESTRING (-107.8120908006746 37.93928937470604, -107.8124074006728 37.93847677471604)",residential,,94.527,North Oak Street,False,
278,178094059,178099763,"LINESTRING (-107.8120908006746 37.93928937470604, -107.8125910006735 37.93940237471062, -107.8130925006724 37.93952597471515)",residential,,91.70599999999999,West Galena Avenue,False,
279,178094059,178103535,"LINESTRING (-107.8120908006746 37.93928937470604, -107.8115941006756 37.9391672747016, -107.8110986006767 37.93904347469714)",residential,,91.207,West Galena Avenue,False,
280,178094061,178093434,"LINESTRING (-107.811821900676 37.93991267469811, -107.8117376006764 37.94007187469589)",residential,,19.184,North Oak Street,False,
281,178094061,178094059,"LINESTRING (-107.811821900676 37.93991267469811, -107.8120908006746 37.93928937470604)",residential,,73.21,North Oak Street,False,
282,178094061,178103537,"LINESTRING (-107.811821900676 37.93991267469811, -107.811350700677 37.93977487469403, -107.8108470006782 37.93963597468964)",residential,,90.865,West Gregory Avenue,False,
283,178095016,178088830,"LINESTRING (-107.8193906006545 37.9377865747982, -107.8191657006558 37.93834147479129)",residential,,64.778,South Tomboy Drive,False,
284,178095016,178105644,"LINESTRING (-107.8193906006545 37.9377865747982, -107.819161600655 37.937744374796, -107.8188687006559 37.93780437479233, -107.8183777006574 37.93802897478515, -107.818133500658 37.93808327478203, -107.8178045006588 37.93805377477867)",residential,,148.229,West Pacific Avenue,True,
285,178095027,178088830,"LINESTRING (-107.818253400659 37.9391597747747, -107.8184335006581 37.93876907477983, -107.818920900657 37.9388655747844, -107.8191657006558 37.93834147479129)",residential,,152.401,South Tomboy Drive,False,
286,178095027,178099782,"LINESTRING (-107.818253400659 37.9391597747747, -107.8181956006593 37.93927247477315, -107.81807970066 37.9394983747701)",residential,,40.615,Cornet Street,False,
287,178095027,1466047480,"LINESTRING (-107.818253400659 37.9391597747747, -107.8186459006584 37.93939637477711, -107.8194904006571 37.94004907478111, -107.8204733006557 37.94085887478542)",primary,2,271.66499999999996,West Colorado Avenue,False,15 mph
288,178095027,178102350,"LINESTRING (-107.818253400659 37.9391597747747, -107.8181832006592 37.93912517477421, -107.8178916006598 37.93900367477199, -107.8175363006605 37.93889817476894, -107.8174517006607 37.93887307476822)",primary,"['4', '2']",77.40299999999999,West Colorado Avenue,False,15 mph
289,178110394,178105644,"LINESTRING (-107.8179555006569 37.9368617747899, -107.8178699006573 37.93702297478767, -107.8177898006578 37.93721137478529, -107.8177802006578 37.93723417478498, -107.8176515006585 37.93754557478106, -107.8179673006579 37.93762667478389, -107.8178045006588 37.93805377477867)",residential,,159.336,South Davis Street,False,
290,178108354,178075127,"LINESTRING (-107.8028520006924 37.93513607463805, -107.8026770006934 37.93557147463264)",residential,,50.789,Columbine Drive,False,
291,178108354,178099061,"LINESTRING (-107.8028520006924 37.93513607463805, -107.8032092006916 37.93519657464149, -107.8038604006901 37.93534547464743)",secondary,2,91.503,East Colorado Avenue,False,
292,178108354,3224175885,"LINESTRING (-107.8028520006924 37.93513607463805, -107.802605300693 37.9351023746356, -107.8023565006936 37.93509097463298, -107.8017400006951 37.93506777462638, -107.8011465006966 37.93507327461985, -107.8010191006969 37.93508027461838)",secondary,2,161.19799999999998,East Colorado Avenue,False,
